"Table 2.1. Personal Income and Its Disposition"
"[Billions of dollars] Seasonally adjusted at annual rates" 
"Bureau of Economic Analysis" 
"Last Revised on: June 25, 2020 - Next Release Date July 30, 2020"
"Line","","2018","2018","2018","2018","2019","2019","2019","2019","2020"
"Line","","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1"
"1","Personal income",17540.3,17725.0,17928.5,18082.8,18355.4,18555.9,18676.9,18845.1,18942.2
"2","    Compensation of employees",10786.0,10876.1,10994.3,11057.4,11306.6,11386.9,11441.7,11575.6,11580.4
"3","        Wages and salaries",8776.7,8845.0,8942.2,8990.0,9211.5,9273.6,9309.6,9421.9,9421.0
"4","            Private industries",7396.3,7450.9,7529.6,7566.8,7779.5,7830.9,7849.4,7949.8,7936.1
"5","            Government",1380.4,1394.1,1412.6,1423.3,1432.0,1442.7,1460.2,1472.1,1484.9
"6","        Supplements to wages and salaries",2009.4,2031.1,2052.0,2067.4,2095.1,2113.3,2132.1,2153.7,2159.4
"7","            Employer contributions for employee pension and insurance funds1",1391.8,1410.9,1426.6,1439.3,1450.3,1464.7,1481.6,1496.3,1502.2
"8","            Employer contributions for government social insurance",617.6,620.2,625.4,628.1,644.8,648.6,650.5,657.4,657.2
"9","    Proprietors' income with inventory valuation and capital consumption adjustments",1567.5,1573.3,1590.0,1624.4,1621.2,1632.9,1683.4,1695.6,1699.6
"10","        Farm",28.1,27.5,17.4,35.9,24.8,19.2,41.8,42.1,38.0
"11","        Nonfarm",1539.4,1545.8,1572.6,1588.4,1596.3,1613.7,1641.5,1653.5,1661.6
"12","    Rental income of persons with capital consumption adjustment",743.8,754.0,765.2,764.1,767.0,777.2,779.7,787.7,795.5
"13","    Personal income receipts on assets",2851.6,2909.3,2957.7,3002.0,2955.1,3016.5,2997.7,3002.2,3010.0
"14","        Personal interest income",1669.6,1694.6,1719.3,1727.2,1699.3,1750.5,1716.8,1715.6,1704.3
